ESTAB,School Name,Type,Phase,Education Area,District,2006_07_Total absence_4half_terms ,2007_08_Total absence_4half_terms ,2008_09_Total absence_4half_terms ,2006_07_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms 
2622,Sydenham Primary School,Primary,Primary,Central,Warwick,5.5,6.1,7.2,1.1,4.3,7
3311,Tanworth-In-Arden C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.6,4.8,5.7,0.5,0.5,1.1
2326,Telford Infant School,Infant,Primary,Central,Warwick,5,4.8,3.7,1.7,0.6,0
2315,Telford Junior School,Junior,Primary,Central,Warwick,4.2,4,3.6,0.8,1.2,0.3
3066,Temple Grafton C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,3.4,3.2,4.5,0,0,0
2610,Temple Herdewyke Primary School,Primary,Primary,Southern,Stratford upon Avon,3.2,3.9,5.2,0,0,2.5
5400,The Avon Valley School and Performing Arts College,Secondary,Secondary,Eastern,Rugby,8.4,8.2,7.3,8.2,8.5,6.6
4233,The Coleshill School - a Maths and Computing College,Secondary,Secondary,North Warwickshire,North Warwickshire,7.8,7.9,9.5,6.3,7.4,7.8
3216,The Dassett C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,3.8,3.1,3.6,0,0,0.6
3210,The Ferncumbe C.Of E. Primary School,Primary,Primary,Central,Warwick,4.7,4.1,3.7,0,0,0
